GEOIDfake,GEOID,Geo_QNAME,Geo_NATION,Geo_STATE,Geo_COUNTY,TRACTCE,Geo_BG,Geo_CITY,Geo_MSAMSA,Geo_ZC,White Population Alone,Black Population Alone, Asian Population Alone,American Indian Population,Other Race Population,SE_T006_006,SE_T006_007,SE_T006_008,SE_T006_009,SE_T006_010,SE_T006_011,SE_T006_012
"371830525041","371830525041","371830525041, 37183052504, Wake County, North Carolina","00","37","183","052504","1",,,,1282,456,140,5,184,138,1332,485,153,5,201,126
"371830525042","371830525042","371830525042, 37183052504, Wake County, North Carolina","00","37","183","052504","2",,,,891,37,26,7,13,93,939,40,29,7,14,86
"371830525043","371830525043","371830525043, 37183052504, Wake County, North Carolina","00","37","183","052504","3",,,,2965,537,160,17,92,217,3101,573,177,19,101,198
"371830525051","371830525051","371830525051, 37183052505, Wake County, North Carolina","00","37","183","052505","1",,,,2159,384,108,15,97,250,2264,412,120,16,108,231
"371830525052","371830525052","371830525052, 37183052505, Wake County, North Carolina","00","37","183","052505","2",,,,1297,299,99,4,206,143,1354,319,109,4,226,131
"371830525061","371830525061","371830525061, 37183052506, Wake County, North Carolina","00","37","183","052506","1",,,,742,244,44,2,19,68,778,262,48,2,20,62
"371830525062","371830525062","371830525062, 37183052506, Wake County, North Carolina","00","37","183","052506","2",,,,1206,70,32,4,22,68,1264,74,35,4,23,63
"371830525071","371830525071","371830525071, 37183052507, Wake County, North Carolina","00","37","183","052507","1",,,,595,183,16,3,19,70,628,198,17,3,20,64
"371830525072","371830525072","371830525072, 37183052507, Wake County, North Carolina","00","37","183","052507","2",,,,1117,482,47,22,165,207,1170,516,51,25,183,190
"371830525081","371830525081","371830525081, 37183052508, Wake County, North Carolina","00","37","183","052508","1",,,,1152,261,75,5,43,95,1206,280,83,5,47,87
"371830525082","371830525082","371830525082, 37183052508, Wake County, North Carolina","00","37","183","052508","2",,,,1541,139,76,7,31,91,1608,149,83,7,34,83
"371830525091","371830525091","371830525091, 37183052509, Wake County, North Carolina","00","37","183","052509","1",,,,850,208,26,0,53,115,892,223,29,0,60,107
"371830525092","371830525092","371830525092, 37183052509, Wake County, North Carolina","00","37","183","052509","2",,,,1533,112,47,3,14,98,1603,120,51,3,15,91
"371830525093","371830525093","371830525093, 37183052509, Wake County, North Carolina","00","37","183","052509","3",,,,686,134,100,1,9,88,717,144,110,1,11,81
"371830526011","371830526011","371830526011, 37183052601, Wake County, North Carolina","00","37","183","052601","1",,,,2034,34,36,3,17,90,2133,37,40,3,18,83
"371830526012","371830526012","371830526012, 37183052601, Wake County, North Carolina","00","37","183","052601","2",,,,1034,29,35,1,0,70,1090,31,38,1,0,65
"371830526021","371830526021","371830526021, 37183052602, Wake County, North Carolina","00","37","183","052602","1",,,,1638,119,41,1,14,92,1717,128,45,1,15,85
"371830526022","371830526022","371830526022, 37183052602, Wake County, North Carolina","00","37","183","052602","2",,,,2047,113,87,0,57,125,2147,121,96,0,64,115
"371830526023","371830526023","371830526023, 37183052602, Wake County, North Carolina","00","37","183","052602","3",,,,807,99,15,3,10,60,848,106,16,3,12,55
"371830526031","371830526031","371830526031, 37183052603, Wake County, North Carolina","00","37","183","052603","1",,,,2182,36,59,1,26,52,2284,38,65,1,29,48
"371830526032","371830526032","371830526032, 37183052603, Wake County, North Carolina","00","37","183","052603","2",,,,1130,68,40,0,22,71,1187,73,44,0,24,66
"371830527011","371830527011","371830527011, 37183052701, Wake County, North Carolina","00","37","183","052701","1",,,,1679,152,87,10,248,162,1758,163,96,11,273,149
"371830527012","371830527012","371830527012, 37183052701, Wake County, North Carolina","00","37","183","052701","2",,,,784,344,66,16,272,180,816,366,73,17,299,165
"371830527013","371830527013","371830527013, 37183052701, Wake County, North Carolina","00","37","183","052701","3",,,,842,383,95,16,569,149,871,404,103,17,619,135
"371830527041","371830527041","371830527041, 37183052704, Wake County, North Carolina","00","37","183","052704","1",,,,293,939,35,27,873,294,303,990,37,29,947,267
"371830527042","371830527042","371830527042, 37183052704, Wake County, North Carolina","00","37","183","052704","2",,,,338,1070,42,24,511,210,349,1131,45,26,556,189
"371830527043","371830527043","371830527043, 37183052704, Wake County, North Carolina","00","37","183","052704","3",,,,563,836,200,16,404,219,583,886,218,17,441,199
"371830527051","371830527051","371830527051, 37183052705, Wake County, North Carolina","00","37","183","052705","1",,,,819,603,95,24,285,160,850,639,104,26,311,146
"371830527052","371830527052","371830527052, 37183052705, Wake County, North Carolina","00","37","183","052705","2",,,,387,138,76,4,268,114,401,147,83,4,293,105
